,content
0,We were on site so decided to visit
1,We shared a few starters and a main with a couple of cold beers
2,We arrived as the restaurant opened and were told there were only two lobsters left if that was what we fancied
3,"Hopeless...The starters were good, we enjoyed those but when the mains finally arrived over an hour later all were dry and tasteless"
4,"For close to £ 300 pounds you would expect much, much better and I won’t bother again"
5,Enjoy....
6,"I dined here with friends on a Saturday night, restaurant was not crazy busy and we had a wonderful table by the window with an amazing view"
7,This was the only positive point I can say about my dinner experience
8,"It was not the first time for me here, I visited the bar and the restaurant few times and this was very disappointing: we went with the tasting menu and between the first 3 courses we waited a crazy amount of time (30/40 minutes) and we then asked if it was possible to speed up a little bit"
9,"After our request was taken very seriously and we did not even have the time to finish the following course that we have our plate cleared and the new course on the table.The service was bland, not attentive at all"
10,Clearing the table a waitress dropped a fork on my friend’s dress and did not even apologise! She looked at my friend like it was her fault
11,"What is more I mentioned in the booking notes, I called and I sent an email as it was a special birthday celebration and I was reassured that they would have presented a celebration cake at the table"
12,"We had dessert, we had coffe, asked for the bill..."
13,celebration plate never arrived.This is not what you expect when you pay almost £500 for a dinner not even in a Michelin star or anything like that.I won’t be back in the restaurant for sure.
14,"I booked Bokan Christmas dinner because we were staying in the hotel on 25/12/19 and at the time of booking, I spoke to a staff who told me that on Christmas Day the restaurant would serve turkey and Christmas pudding with custard"
15,On Christmas Day I was shocked and upset at the restaurant when I spoke to a waiter and I was told that there was no turkey or Christmas pudding with custard.The waitress gave us a table in the corner facing the window and no one could see our faces only our backs
16,"We received bad customer care, a waiter took our orders he frequently went to other tables and check if other customers were ok and if their food is ok and we were ignored"
17,I had to get out of my seat to go over to speak to a waiter to say that I was not happy with the starter
18,I received the crab starter but it was making me sick so I was given the salmon but it was raw and I was unable to eat this
19,We ordered the main dish cow’s cheek and chips but when this arrived we ate a small piece but it was slimy and was making us sick
20,"We called the waiter and asked him if we could have another main dish and he said, “No because the chef cooked it for us and cannot give us another main dish.” My daughter and I only ate the chips for the main dish"
21,"The waitress recommended The Red Seal cocktail, this was served in a long stem champagne glass and not a cocktail glass and it was very sour"
22,We told the waiter that we did not like it because it was very sour
23,He said he would ask the bar upstairs to make us a sweet cocktail
24,We were given another cocktail in a black African head glass
25,I asked the waiter if he could let me know what the ingredients are and if grapefruit juice was in the cocktail
26,He later returned and said grapefruit juice is not in the cocktail but he does not know the rest of the ingredients because they made it upstairs in the bar
27,The dessert Christmas log with ice cream was ok
28,The bill was presented in an old reading book “The Facemaker”
29,I asked the waiter I have never seen the bill presented in this way
30,He said it is new
31,I rang the reception and spoke to Jerome about the problems we had in the restaurant and that our main meal Cow’s cheek was taken away but we were not offered another main meal and we were starving
32,My daughter is allergic to all nuts so when Jermore offered fish fingers and chips he later rang back to say that the fish fingers contain nuts
33,We told Jerome that we would have the Duck legs with chips
34,We received the Duck legs but it was cold and when we cut inside it was pink
35,We got the chips later
36,I was unable to sleep during the night because the duck was not digesting
37,"On the morning of 26/12/19, we had severe vomiting and diarrhoea"
38,Due to the problems we suffered our Christmas 2019 was ruined
39,I am never returning to this restaurant again.
40,"My husband and I were staying at the Novotel for a couple of days and on our first night, decided to have dinner at Bokan"
41,We were shown to a table and were sat for probably about 15 minutes before our order (drink and food) was taken
42,"Around 40 minutes later, we still hadn’t received our drinks, never mind the food"
43,This was despite a couple who came in after us getting both food and drinks long before us
44,"The waiters kept walking past and looking at the table and could clearly see we didn’t have any drinks yet, but did nothing about it"
45,"It wasn’t until I got the attention of a female member of staff, who looked to be in charge possibly and mentioned it to her that something started to be done"
46,"It was however, an hour, before we even got our drinks and then eventually our food came out"
47,"We were charged a £7.25 service charge, which seemed excessive seeing as it took so long to get anything to eat or drink"
48,"When the food arrived, it was ok but nothing special and certainly not worth the wait"
49,"I wouldn’t recommend this place, we certainly weren’t made to feel very welcome and nothing was offered as an apology for the poor service"
50,
51,"We had really bad service, change of courses took a really long time"
52,"Some of waiters speak English inseparably, so we struggled to understand them sometimes"
53,"One Polish waiter was like from distant village asking us “Are you okay now?”, “you didn’t like the food?” when I didn’t finish it"
54,This kind of level would be acceptable in road cafe in Belarus but not on rooftop restaurant in London
55,
56,We were kept waiting for an hour for a table although we had a reservation and stayed in the hotel
57,"Coco, who appeared to be in charge of table organisation was unapologetic and patronising"
58,There wasn’t enough staff to be attentive and alert
59,"The food was good although the price had raised our expectations, which were not entirely met"
60,"I would give Bokan restaurant a miss, the bar and terrace are great."
61,Absolutely terrible and unfriendly Service at the Bokan
62,Reserved weeks in advance for my birthday dinner and as it was in the middle of summer and 34 degrees our entire party was not let in because I was wearing sandals in the 34 degree summer heat! I have spent a lot of money at this place before and there was many other people wearing sandals in the 34 degree heat
63,They were very unfriendly about it and just told me I have to go; will never go there again!
64,"We had dinner in this restaurant.The view is amazing, we were lucky to have our table at the window.We arrived a little early and we asked for a apero in the rooftop bar! We had to go to our table and got our cocktail and also imediately our food"
65,"We didn’t had the time to enjoy our apero first, and we had enough time, the food was ok"
66,"It looked beautiful, but the Taste was a little less spicy.The waiter asked every time if we wanted more water/wine/dessert/coffee.."
67,friendly but also like he wanted to sell more and more...
68,"I didn’t like the dessert, the chocomouse was very bitter"
69,
70,Appalling service here tonight
71,"A medium steak came well done, sides came almost at the end of the meal, no apology, and the extremely rude manager decided to have a go at the kitchen staff in front of us"
72,A real pity as all my other experiences here have been amazing.
73,"This bar has an amazing view, great cocktails and good bar snacks but the service was awful! We ordered snacks and a bottle of champagne to celebrate a special occasion"
74,After about 40 minutes we asked about our order and several people can around making excuses about a problem with their “system”
75,We asked for the manager - he never came and finally our order arrived with the waitress telling us they could comp our cheese plate ....
76,still no one ever came back to check on us or ask if we had everything! Just terrible service and poor management.
77,"If I could give this place less than 1 star, I would"
78,They completely ruined my New Year's celebration by miss-advertising their venue
79,"We emailed them on Friday 28th December to simply enquire if they had more tickets available (No expectations as we know how busy this night is, and it was lastminute.com)"
80,Failing to respond within 24 hours (which is quite a reasonable expectation for such business) we decided to call instead
81,"Upon speaking to one of their unqualified staff, they advised us that walk-ins will be available all night upon payment of £50 per person at the door"
82,This does not secure any tables which was fine for us as we only wanted to enjoy a drink and watch the fireworks from up high
83,"We were pretty happy with this result! To our surprise, today we receive a response to our email (4 days later - excellent customer service I must say) informing us that they are fully booked for the night, but hope to see us another time"
84,How nice of them! As we live in the area we took it upon ourselves to go there personally today and hoped that this will be somehow resolved as they have provided such bad service
85,"Yet again, we were even more disappointed to see that 1st, the manager who responded to our email was so busy she could not take 5 minutes of her time to talk to us about this"
86,"2nd, 'in their defence' (their words, not mine) the manager works office hours and was not there when we called on the weekend, so I guess misinforming clients should be totally acceptable, especially when it comes to one of the busiest nights of the year when all everyone wants is to celebrate somewhere special"
87,I was shocked to see such bad level of management and customer service from such a nice establishment
88,"I have been to Bokan many times before this, and have personally recommended it to many of my friends as probably the best rooftop bar in London, but I am sorry to say that I will not longer be doing that"
89,"To see a manager who would leave their staff to deal with a problem without facing it professionally, and allow others to take blame for their own poor service"
90,Astonishing
91,Happy New Year Bokan!
92,We celebrated a 50th birthday with 6 people at Bokan
93,"While the food was generally very good and well presented on the plate, the service was absolutely terrible"
94,The staff was not trained and inattentive
95,"When we asked for the cocktail list, it took forever to arrive, and the waiter could not explain the cocktails and had to get another member of the bar staff"
96,The same happened with the wine menu
97,"Likewise, the waiters were unable to explain certain items on the dinner menu, i.e"
98,what they were or how they were prepared
99,Everything took an absolutely extraordinary amount of time to arrive
100,We had endless wait times between courses and long periods with empty drinks
101,"It was very hard to track down the waiters for anything, and we had to physically get up twice to grab one to place an order"
102,"It was exhausting and distracting, bringing the mood down"
103,"We were also not served at the same time, i.e"
104,some of us were sitting in front of their rapidly cooling main course while others hadn't received theirs yet
105,The mashed potatoes that were meant to come with my steak arrived only after I was finished
106,"The same happened to some of our party as well, where side dishes were forgotten or arrived too late"
107,"The food was good, but not outstanding"
108,"The ""petit fours"" that came after dessert, were not what we expected: they included cheap tasting jellied sugar candy and by no means ""petit fours,"" as in “delicate pastry”"
109,I would not recommend the “birthday cake” that we had pre-ordered
110,"It was not a cake in any sense of the word, but a moussey fluffy mass on a hard crust"
111,It was impossible to cut and portion and unpleasant to eat
112,We left it there despite having paid around £50 in advance
113,"I’ve heard the same review from friends who, like us, also live in Canary Wharf around the corner from the restaurant"
114,"We could be regulars, but I’m worried to go back and have the same experience"
115,"This area is in dire need of some outstanding restaurants, and it would be good if Bokan cleaned up their act and invested in better service staff"
116,"The ambience and décor are great, very New York"
117,We just need some New York style waiters
118,"There, you’d get served a 3-course meal and are in and out in 1 hour..."
119,"We spent a girls weekend in London and booked this restaurant as it looked amazing from the photos but we were very disappointed!It was like a marathon, the minute we sat down everything was rushed and we didn't have time to relax or enjoy our food or drinks"
120,We ordered cocktails to start our evening but those didn't arrive until after our starter so we had no drinks with our started
121,We then finally received the cocktails with our main but since we prefered to drink wine with the main we had to chuck down our cocktails and quickly order the wine before we finished our main
122,We felt all so sick after our food because everything was rushed and we had no time to diggest or even enjoy our food.The staff was rude to us as well
123,We asked two people if they could take a photo of us but they both turned us down very rudely because they didn't have time
124,At least they could have said sorry in a friendly tone that they don't have time but they amlost shouted at us for asking the
125,"When we confronted our waiter Florian and told him that everything is too fast and that we're having a bad time he just ignored us and told us yes the service needs to be fast and then he left as he didn't like the confrontation.If your table tells you that they're having a bas time then as a good waitor you should at least try and change things, but he didn't.So we just decided not to take desert and just leave as it was just so horrible.Such a shame because it's such a beautiful place but I guess they didn't want us there ...Carole"
126,"We popped in for a drink - great view but despite sitting at the bar, it took for ever to get served"
127,"When we asked how we could get a drink, a surly and grumpy member of staff (Darina or Davina I think) begrudgingly served us"
128,"When we got the bill, there was a ‘discretionary’ service charge added!Oh yes, and to top it off, when leaving, we were virtually bathed out of the way by"
129,Waitress - no ‘excuse me’ or apology - genuinely shocking and made us ashamed to be British!
130,So the title might be misleading slightly but it is my overall feeling
131,"Let me explain that personally I judge a bar by its Long Island Ice Tea, especially one that charges a service charge even with drinks ordered at the bar...First round OK, but my wife who asked for a double gin and tonic ended up having to get another bottle of tonic"
132,"Sure you will say that you get a lot of gin, but it ruined the experience initially"
133,"Long Island was OK,but not stellar"
134,Then onto the the 2nd
135,"Well, if I had wanted to order Tequila I would have,but I didn't"
136,To say the bar person took it badly is a bit of an understatement
