,answer_text,content,diner_date,id_comment,id_resto,other_ratings_category,other_ratings_value,rating,rating_date,resto,resto_url,reviewer_info_sup,reviewer_origin,reviewer_pseudo,title,url
0,,"['Fabulous food, service and old school live Jazz band serenade over dinner - even on a Tuesday night!']", February 2020,g186338-d2180904-r747618087,g186338-d2180904,[],[],4,25 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '2']]","['Sunningdale, United Kingdom']",Hopesprings1,Fabulous ambience and delightful service from Roxanne!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r747618087-Boisdale_Canary_Wharf-London_England.html
1,,"['Boisdale Canary Wharf is part of a coterie of British restaurants in London, the others in Belgravia, Bishopsgate and Mayfair. It is a large old-fashioned clubby sort of place spread over a corner of the first and second floors within the Canada Place skyscraper. There is a space for live music at the darkened end of the upper floor restaurant with views over Canada Square. The walls are covered with prints and pictures including some striking female nudes. As this is a Scottish restaurant the waitress wears a short kilt, fishnet tights and a sporran. It also comes with a lifestyle magazine for sales of gin and whiskey edited by Boisdale’s founder Ranald (sic) McDonald. That Scottish delicacy of hamburgers features heavily on a menu that probably hasn’t changed much from the 1980s when Boisdale first opened. Without a 50% discount on food it’s all quite expensive, solid rather than inspiring British cuisine whilst being far from a fine-dining experience. Think sausages and mash, steak and chips, bubble and squeak. I started with a suitably retro cocktail with saucy shrimps as well as larger prawns with added shards of lobster on a bed of creamy lettuce and slaw. Probably slightly inferior to an equivalent I recently enjoyed in a fish restaurant in Hull. I followed this with the dish du jour calves’ liver and bacon on a bed of creamy mash. The liver was very slightly more cooked than the medium rare I had ordered; clusters of bacon much more so. Best of all was an iced nougat dessert with blobs of apple purée. There are some beers on draught as well as in bottles but not on an extensive wine list with at least one bottle over the £2000 mark suggesting pretensions that the food simply doesn’t match.']", February 2020,g186338-d2180904-r744514687,g186338-d2180904,[],[],4,12 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '2802'], ['thumbs-up-fill', '1252']]","['London, United Kingdom']",futtock21,Upscale McDonalds ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r744514687-Boisdale_Canary_Wharf-London_England.html
2,,"['My first visit to Boisdale. I visited on a Friday night - Soul Night! The bar was busy, but not crowded, with inside and outside space.', ""The music was great and the place had a good atmosphere. As you'd probably expect, drinks here aren't cheap - cocktails from £12.50, with a spirit and mixer roughly the same (although available from £10 upwards)."", 'The bar staff were professional and all in all a brilliant night out.']", January 2020,g186338-d2180904-r743436725,g186338-d2180904,[],[],4,6 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '94'], ['thumbs-up-fill', '54']]","['Hornchurch, United Kingdom']",Jan S,Good night out!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r743436725-Boisdale_Canary_Wharf-London_England.html
3,,"[""I took advantage of a groupon offer as I was meeting a friend who lives nearby and we wanted to see what the place was like. We've both passed it many times on the way to somewhere else, but because it's above street level it's hard to know what's up there. "", ""Anyway, it's a very nice space, upmarket brasserie-style, with some tables overlooking Cabot Square. It looks as if they can cater for private parties and larger groups. "", 'Service was charming and attentive, the wine list goes from low in price (for London), with some interesting bin ends, to pretty high - so something for everyone. Cocktails, aperitifs, dessert wines, whiskies etc etc all look interesting. ', ""We asked for our chateaubriand to be served rare and it was beautifully cooked, with large portions. We didn't need to ask for the bottomless chips as our initial serving was generous, and there was good quality bread and butter on the table. Our side of garlic & chili mushrooms was also well above normal quality. "", ""The dining room wasn't too full but it had a buzzy atmosphere and I imagine it would be a good place to see live music. It was unfortunate that we didn't have much time to spare otherwise I'd have liked to have stayed to see the blues band that was warming up on stage. The tables that don't have a good view of the stage have screens, so everyone can see. Also, the dining room is so large that the music probably won't be overwhelming if you're not there for that."", ""The groupon deal is amazing value; it's a great way to discover a place you've never been before. I arrived early so had time to look at the a la carte menu posted outside which offers a good choice, and the cheese trolley looked varied and interesting. I will definitely be back when I have more time, to try some different things and to see some music.""]", February 2020,g186338-d2180904-r743081178,g186338-d2180904,"['Value', 'Service', 'Food']","['50', '50', '50']",5,4 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '113'], ['thumbs-up-fill', '83']]","['London, UK']",tripbiscuit,"Very good, will return",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r743081178-Boisdale_Canary_Wharf-London_England.html
4,,['Not very busy when we visited. Service pretty slow and the waiter was over familiar and used language not acceptable to the type of restaurant it is. Food ok but not outstanding for the price.'], February 2020,g186338-d2180904-r744537071,g186338-d2180904,[],[],3,12 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '3']]",[],grahamm586,Boisdale,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r744537071-Boisdale_Canary_Wharf-London_England.html
5,,"['I booked this Friday soul night for me and partner for valentines, I had never been before , we parked in Cabot square and it was very near we didn’t know what to expect but it was a pleasant surprise, it was rocking great music we had a 3 course Meal a few cocktails could have gone to the bar and had a boogie if we had the energy , great service can’t fault it , well if I’m being picky the sirloin steak was a bit tough but all in all a really great place to go']", February 2020,g186338-d2180904-r745107052,g186338-d2180904,[],[],4,14 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '201'], ['thumbs-up-fill', '103']]",['essex'],vickilovesluxury,A pleasant surprise,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r745107052-Boisdale_Canary_Wharf-London_England.html
6,,['We went for a Sunday brunch a food was okay. Service wasn’t great and our drink order was wrong twice. We had to wait a long time for the biscuits when having the cheese board however. We had a brilliant waitress called Violeta who made the experience enjoyable for the table. Would go again because of her and venue.'], February 2020,g186338-d2180904-r745461022,g186338-d2180904,[],[],4,16 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '1']]",[],DCoakley7,Mrs Coakley,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r745461022-Boisdale_Canary_Wharf-London_England.html
7,,"['3 of us went for a chilled Sunday lunch whilst staying at the Hilton Double Tree. We have been here many times before and this has become one of our goto places. Excellent music, great food and Sunday lunch is excellent value as well.']", February 2020,g186338-d2180904-r745883122,g186338-d2180904,"['Value', 'Service', 'Food']","['40', '40', '40']",4,18 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '14'], ['thumbs-up-fill', '6']]","['London, United Kingdom']",katclay,Sunday lunch with friends,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r745883122-Boisdale_Canary_Wharf-London_England.html
8,,"['Me and my family came here for Sunday brunch today to celebrate my Dad’s birthday with some live music. The music was good but everything else was very disappointing. The waiter struggled to understand what we were saying and really struggled to take our order. They were slow to bring wine / serve us drinks. Our starters were then slow in coming too, luke warm at best and on not the cleanest plates. Having arrived at 1:15pm we were served our mains at 3:30pm! My main was the cod which was rubbery and dry and and missing a key ingredient - chorizo. My dad has the pasta which was tasteless and everyone else had a roast which was okay. They then didn’t have the dessert I ordered which was the chocolate brownie so i ordered ice cream and was served sorbet. All in all a disaster and I can’t believe this place is still going and was as busy as it was, do not waste your money coming here! ']", February 2020,g186338-d2180904-r746994930,g186338-d2180904,[],[],2,23 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '2'], ['thumbs-up-fill', '1']]",[],113florencel,Me and my family came here,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r746994930-Boisdale_Canary_Wharf-London_England.html
9,,"['We have visited Boisdales again this week for the second time, the service and food we received was exceptional. We were served throughout the evening by Julien who deserves a special mention for his attentive service.Again we will certainly visit Boisdales in the future, Thankyou again for a truly exceptional experience.', 'Thankyou ']", February 2020,g186338-d2180904-r746568041,g186338-d2180904,[],[],5,21 February 2020,Boisdale_Canary_Wharf,/Restaurant_Review-g186338-d2180904-Reviews-Boisdale_Canary_Wharf-London_England.html,"[['pencil-paper', '22'], ['thumbs-up-fill', '11']]","['Glasgow, United Kingdom']",135alisterm, Boisdale Another Visit,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d2180904-r746568041-Boisdale_Canary_Wharf-London_England.html
