,answer_text,content,diner_date,id_comment,id_resto,other_ratings_category,other_ratings_value,rating,rating_date,resto,resto_url,reviewer_info_sup,reviewer_origin,reviewer_pseudo,title,url
0,"['Thank you Mara_Gt for your review, I am so sad to hear about this disappointing experience you had with us in Bokan and the attitude from Martina. Please accept my sincere apologies. I can confirm that we have certainly taken action with regards to your feedback. I would really appreciate it if you could contact me directly on h9057-gm@accor.com to discuss a return visit to Bokan and how I can make sure you have an amazing experience. Kind regards and I look forward to hearing from you. Jacqui McMillan - General Manager']","['I am coming very often at Bokan with my friends and always had a great experience, nice cocktails and friendly staff. However yesterday evening we did face a different attitude from the bartender Martina which was very rude to us and did not prepare the cocktail that we have asked and when we asked her for the cocktail that we wanted she started to argue saying that this is the cocktail and even start to laugh with her colleague and talking about us. I was shocked that at Bokan they still have people with this kind of attitude that don’t even bother about the guest requests. Very unprofessional. Really hope the management will take further actions.']", February 2020,g186338-d17415315-r745371622,g186338-d17415315,[],[],2,16 February 2020,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '1']]",[],Aramatrepsag,Very disappointed,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r745371622-BOKAN_38_Bar_39_Rooftop-London_England.html
1,['Thank you Mr George 2015. I am so sorry about this experience. I would really appreciate it if you could contact me directly on h9057-gm@accor.com to discuss this issue further. Jacqui McMillan - General Manager'],['Went for a drink at the bar but was ignored by staff. So I cannot comment on drinks or food. Restaurant might be nice but avoid the bar.'], November 2019,g186338-d17415315-r731258294,g186338-d17415315,"['Value', 'Service', 'Food']","['10', '10', '10']",1,7 December 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '16'], ['thumbs-up-fill', '29']]","['Zurich, Switzerland']",Mr_George_2015,Completely ignored by staff on a quiet Sunday evening,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r731258294-BOKAN_38_Bar_39_Rooftop-London_England.html
2,['We love your 5 star review about your recent experience with us for your girlfriends birthday in Bokan. Oh my favourite is the Old Venus too so delighted Martina recommended this one :). We are looking forward to welcoming you back soon and we are launching a brand new cocktail list in the New Year so always an excuse to come and try a new one. Jacqui & The Bokan Family'],"[""Me and my girlfriend went for couple of drinks to celebrate her b-day at Bokan bar 38. We been served by Martina, who recommend us very nice cocktail called 'old venues' which we really enjoyed and planning to come back to see amazing view from the bar and scenery of the river and city center. Truly recommended.""]", October 2019,g186338-d17415315-r731680592,g186338-d17415315,[],[],5,9 December 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '1']]",[],Joeysvk,Amazing drinks,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r731680592-BOKAN_38_Bar_39_Rooftop-London_England.html
3,"[""Thank you for our 5 star review, we love it acasadiluisa. I would also like to thank the waiter who recommended us. We did have a few negative reviews and we don't get it 100% right al the time but the negative reviews spurred us on to ensure we try really hard to get it right most of the time :). I am so happy that you enjoyed our view and of course our cocktails and we can't wait to welcome you back soon. Jacqui & The Bokan Family""]","[""I was reccomended this venue by a waiter in another restaurant, I was skeptic upon reading the reviews but I decided why not to give it a shot. I don't understand the negative reviews! The place gets pretty crowded but that's normal when the view and the cocktails are so great! I didn't have any food but upon prying from other tables it looked great. I guess I will have to go back for that :)""]", November 2019,g186338-d17415315-r728349677,g186338-d17415315,[],[],5,23 November 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '4']]","['Monza, Italy']",acasadiluisa,"Good drinks, amazing view",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r728349677-BOKAN_38_Bar_39_Rooftop-London_England.html
4,"['We absolutely love your review, thank you so much for sharing your 5 star experience with us. Breno will be thrilled with his personal mention and the feedback on how well he looked after you. We are really looking forward to welcoming you back soon. Jacqui & The Bokan Family']","['This was my first time visiting the Bokan having seen/heard many positive comments. My initial perception of the place was that it seemed very cool and modern which was followed by a vibrant atmosphere. I was lucky enough to find a window table which showcased just how amazing London is and how the Bokan Bar rooftop bar is truly a picturesque setting. The staff were friendly, in particular a guy named Breno who was highly attentive and provided a personable service. We were one of, if not the last persons to leave the bar and he ensured our glass was always full until the minute we left. Thanks Breno for your fantastic service and thank you Bokan for offering such a fantastic place to enjoy drinks in London. I will be returning. 100% recommended. My only feedback would be to extend opening hours.']", December 2019,g186338-d17415315-r731906126,g186338-d17415315,[],[],5,10 December 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '3'], ['thumbs-up-fill', '1']]",[],ajaybhatti20,Bokan Rooftop Bar,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r731906126-BOKAN_38_Bar_39_Rooftop-London_England.html
5,['Thank you hhhh1973. I am so sorry about this issue. I really want to investigate this further and would appreciate it if you could drop me an e-mail me with the date and time that you came to visit us. This is absolutely not acceptable - my e-mail is h9057-gm@accor.com. Thank you and I look forward to hearing from you. Kind regards. Jacqui McMillan - General Manager'],['First waiting for a table at the entrance to see the staff letting others without reservation overtake us. Then at the table to waiter was so arrogant and rude that we simply left. Fantastic view though.'], November 2019,g186338-d17415315-r727959956,g186338-d17415315,[],[],2,21 November 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '130'], ['thumbs-up-fill', '40']]",['Sandvika'],hhhh1973,We left,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r727959956-BOKAN_38_Bar_39_Rooftop-London_England.html
6,"[""We really love your 5 star review and rating about Bokan. It really is a beautiful place to visit for summer drinks. However I hope Co0ops that you won't wait until the summer to come back and visit. Jacqui & The Bokan Family""]","['Perfect roof top bar in Canary Wharf for summer drinks and catching up. On occasion they have a live band which adds to the chilled out vibes! ', 'Not eaten anything other than snack food. Drinks are decent. If they wanted to go for perfection would include bar service on the roof top.']", August 2019,g186338-d17415315-r730058592,g186338-d17415315,[],[],5,1 December 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '18'], ['thumbs-up-fill', '5']]","['London, United Kingdom']",Co0ops,Love this place in the summer!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r730058592-BOKAN_38_Bar_39_Rooftop-London_England.html
7,['Thank you. As requested on my other responses to your social media posts including your 5 star review I would appreciate it Yvonne G if you could contact me directly with regards to your feedback. Kind regards. Jacqui McMillan - General Manager'],['We visited the bar in December 2019. Waiting for a long time to be seated. Very nice views of London. Staff tends to ignore you. Cocktails served in different types of glasses. We did not enjoy the food in the restaurant.'], December 2019,g186338-d17415315-r735164769,g186338-d17415315,"['Value', 'Service', 'Food']","['30', '20', '20']",2,28 December 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '72'], ['thumbs-up-fill', '72']]","['Croydon, United Kingdom']",Yvonne G,Nice views shame about the staff,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r735164769-BOKAN_38_Bar_39_Rooftop-London_England.html
8,"['We love your review Rob, thank you so much for sharing your brilliant review about Bokan and your experiences with us. I agree it really is a perfect place to start the weekend. Looking forward to welcoming you back soon. Jacqui & The Bokan Family']","['Bokan is a 3 level rooftop bar, with a view over whole London, from the City. The atmosphere is relaxed and cheerful, there is live music and friendly service. The prices are very reasonable and it is just a perfect start for a Friday night! ', 'There is also an outside area where you can sunbath, and smoking is permitted there. There are also heaters to be able to enjoy it when it is cold. ', 'All in all, a fantastic place, perfect to start the weekend at!']", February 2020,g186338-d17415315-r742334709,g186338-d17415315,[],[],5,1 February 2020,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '69'], ['thumbs-up-fill', '41']]","['London, United Kingdom']",robbU6135VO,Brilliant Bokan,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r742334709-BOKAN_38_Bar_39_Rooftop-London_England.html
9,"['We really enjoyed reading and sharing your amazing review MSTR6, thank you so much. We do change our bar menu very often so thank you for the feedback. I hope we can welcome you back to Bokan soon. Jacqui McMillan - General Manager']","[""It's obvious most come for the views which are spectacular. The staff are very friendly and pleasant. The security seemed good too as there were a few guys walking around and keeping an eye out. That's crucial especially with a place so high up. "", ""The only reason I didn't give 5 stars is that the food is so limited in the bar - I guess it's best just for drinks but other bars offer greater menu variety and considering there's a restaurant below, it could offer more.""]", January 2020,g186338-d17415315-r740082393,g186338-d17415315,"['Value', 'Service', 'Food']","['30', '50', '30']",4,19 January 2020,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '53'], ['thumbs-up-fill', '56']]",['United Kingdom'],MSTR6,Amazing views and nice staff,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r740082393-BOKAN_38_Bar_39_Rooftop-London_England.html
10,['Thanks Steve for your review about your experience in Bokan and I am so pleased you enjoyed the beautiful sunset. Service charge is always optional with us at Bokan. I do hope you will come and visit us again soon. Jacqui McMillan - General Manager'],['Stayed in Novotel. Used Boken bar on 38th floor and rooftop. £9.50 for glass of Prosseco and £3 for bottle of Coke plus 12.5% service charge even if you order at the bar ! Open to non residents. Worth going once (sunset) to catch the views over London. Restaurant and food not used. SX'], October 2019,g186338-d17415315-r724684511,g186338-d17415315,[],[],3,7 November 2019,BOKAN_38_Bar_39_Rooftop,/Restaurant_Review-g186338-d17415315-Reviews-BOKAN_38_Bar_39_Rooftop-London_England.html,"[['pencil-paper', '52'], ['thumbs-up-fill', '36']]","['London, United Kingdom']",Steve C,Great views but you pay for them,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d17415315-r724684511-BOKAN_38_Bar_39_Rooftop-London_England.html
