,answer_text,content,diner_date,id_comment,id_resto,other_ratings_category,other_ratings_value,rating,rating_date,resto,resto_url,reviewer_info_sup,reviewer_origin,reviewer_pseudo,title,url
0,,['I have had many afternoon teas but have never been served toasted scones. We questioned our waitress about this and was told they were toasted so that they could be served warm. She informed us that since she had been working there (7 months) they had always been toasted!!!'],,g186338-d1386832-r740458416,g186338-d1386832,[],[],3,21 January 2020,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '14'], ['thumbs-up-fill', '3']]","['London, United Kingdom']",cotulliojan,Afternoon tea. Very Average,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r740458416-Cinnamon_Restaurant_and_Bar-London_England.html
1,,"['Located on the bottom floor of the Hilton, this restaurant was convenient . It had a delicious hot breakfast buffet with a little bit of everything . I loved the fix your own oats bar . Very healthy and unique . The host was engaging and helpful . He greeted me by name in the second day . It was clean and inviting . There were good menus for all of the meals . ']", October 2019,g186338-d1386832-r715141099,g186338-d1386832,[],[],4,4 October 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '818'], ['thumbs-up-fill', '168']]","['Orlando, Florida']",laj2e7,Convenient and good ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r715141099-Cinnamon_Restaurant_and_Bar-London_England.html
2,,['Excellent service and good food. We used the restaurant during an overnight stay at the Hilton Canary Wharf. We also had breakfast which was very good with a good choice of breakfast options including hot and cold food. Staff were efficient and friendly'], October 2019,g186338-d1386832-r718551872,g186338-d1386832,[],[],4,15 October 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '6'], ['thumbs-up-fill', '14']]","['London, United Kingdom']",Gardel H,Dinner,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r718551872-Cinnamon_Restaurant_and_Bar-London_England.html
3,,"['Went here for a date night via wowcher and it was outstanding! ', 'For starter I had the belly pork it was amazing! My partner had the prawns in sauce which she loved, we then had steak for main AMAZING I was so full by this point I couldn’t even eat my desert! Our deal came with a bottle of champagne and it was lovely, the staff were so attentive and couldn’t do more for you! I would definitely go again and I will be, I would highly recommend']", September 2019,g186338-d1386832-r707327189,g186338-d1386832,[],[],5,6 September 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '4'], ['thumbs-up-fill', '2']]",[],Jaye M,Amazing 3 course meal,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r707327189-Cinnamon_Restaurant_and_Bar-London_England.html
4,,"['We visited on Wednesday 9th October for a Bottomless Brunch deal - £29 pp with 2 hours of Bottomless Prosecco and 3 course Brunch.', 'We booked for 1pm but arrived at 12pm, we were told we could be seated early.', 'Great welcome on arrival by Jorge, seated quickly and brought the menu - drinks were served straight away and we were left for just under 10 minutes to enjoy the drink and look at the menu. Our drinks were filled and we chose the Eggs Benedict and Bacon Waffles, the Brunch Roast each... I had chicken and my husband the steak and we chose fruit platter and cheesecake for desert.', 'Food came quick enough although not immediately which gives the impression it’s cooked fresh. Excellent taste for each course, well presented and good portions.', 'Not once throughout our dine did our glass of Prosecco go empty.', 'Service from Jorge was exceptional and he was so informative and polite with great humour... he finished his shift at 2pm and we was handed over to a lovely lady server, did not get her name but equally very polite and accommodating.', 'Not once did we feel we’d overstayed our welcome and thoroughly enjoyed the experience.', 'There were other diners enjoying an afternoon tea which looked equally tasty and everyone seemed to be enjoying the service.', 'Keep up the good work, will definitely recommend and we’ll be returning soon.', 'Thank you, Emma']", October 2019,g186338-d1386832-r719028031,g186338-d1386832,[],[],5,17 October 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '7'], ['thumbs-up-fill', '6']]","['London, United Kingdom']",gizmoemmielou,Great Food and Service,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r719028031-Cinnamon_Restaurant_and_Bar-London_England.html
5,,"['My family and I booked a Wowcher Deal for under 40 for 2 people with Bubbly. We had a fantastic meal, the Fondant get a special mention as I am not a big dessert person but that was soooooo yummy. Big thumbs to the Hilton Canary Wharf we all had a wonderful time and our waiter was very attentive. Highly recommended and I will be back!!!']", September 2019,g186338-d1386832-r712637427,g186338-d1386832,[],[],5,24 September 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '1']]",[],Pepxinat,Absolutely fabulous meal at the Hilton Canary Wharf,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r712637427-Cinnamon_Restaurant_and_Bar-London_England.html
6,,"['This restaurant and bar is situated on the ground floor within the Hilton Hotel, Canary Wharf.', 'We stayed at the hotel during a weekend and used the restaurant and bar on two occasions and were not disappointed.', 'The food we ordered was cooked perfectly, tasted great and was very well presented. We also had a hot breakfast buffet one morning that had lots of choice of both English and continental style breakfasts.', 'The staff in the restaurant and bar were also very helpful and friendly during our stay.', 'I would highly recommend this restaurant.']", October 2019,g186338-d1386832-r718166433,g186338-d1386832,"['Value', 'Service', 'Food']","['50', '50', '50']",4,14 October 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '142'], ['thumbs-up-fill', '62']]","['Hinckley, United Kingdom']",CB5212,Nice restaurant and bar,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r718166433-Cinnamon_Restaurant_and_Bar-London_England.html
7,,"['Faultless, great service, fantastic set menu, flowing Prosecco and amazing value for money. Would highly recommend to anyone, I’m sure we will be visiting again soon']", November 2019,g186338-d1386832-r725758326,g186338-d1386832,[],[],5,11 November 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '41'], ['thumbs-up-fill', '21']]","['London, United Kingdom']",Samwalsh2013,Brunch with friends,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r725758326-Cinnamon_Restaurant_and_Bar-London_England.html
8,,"['I met a friend at Cinnamon Restaurant Canary Wharf and I would recommend the venue, if you are looking for good food, lovely atmosphere and great value ( when booked via Bookatable). The staff were lovely.']", November 2019,g186338-d1386832-r728877242,g186338-d1386832,"['Value', 'Service', 'Food']","['50', '50', '40']",5,25 November 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '68'], ['thumbs-up-fill', '12']]","['Bexley, United Kingdom']",AngelaH4414,Excellent Value Lunch,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r728877242-Cinnamon_Restaurant_and_Bar-London_England.html
9,,"['A great spread for breakfast. Didn’t have to wait first time and a short wait the second time. Egg station with omelettes which were great. All typical English breakfast components available! Pastries too, cold meats, cheeses, juices and yogurts and fruits. Staff made sure we were ok. A good choice.']", November 2019,g186338-d1386832-r728454991,g186338-d1386832,[],[],4,23 November 2019,Cinnamon_Restaurant_and_Bar,/Restaurant_Review-g186338-d1386832-Reviews-Cinnamon_Restaurant_and_Bar-London_England.html,"[['pencil-paper', '1026'], ['thumbs-up-fill', '385']]","['Wirral, United Kingdom']",Lottelli,A great spread for breakfast.,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d1386832-r728454991-Cinnamon_Restaurant_and_Bar-London_England.html
