,answer_text,content,diner_date,id_comment,id_resto,other_ratings_category,other_ratings_value,rating,rating_date,resto,resto_url,reviewer_info_sup,reviewer_origin,reviewer_pseudo,title,url
0,,"['A fantastic evening in the Ivy, made particularly special by the the attentive waitress Amy (Auburn hair). She was attentive, knowledgable and funny, making the whole party feel at ease and welcome in the fantastic setting! Great job, I hope she is recognised for her professional and friendly attitude.']", January 2020,g186338-d15238588-r742139252,g186338-d15238588,[],[],5,30 January 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '2']]","['London, United Kingdom']",L8553AUwillb,A fantastic evening and a great waitress! ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r742139252-The_Ivy_Canary_Wharf-London_England.html
1,,"['Having frequented various Ivy restaurants and been very happy with both food and service, I selected this one for a birthday brunch with friends for my wife. This went off to a bad start because, the waitress spotted that I had brought my own birthday cake with me and wanted to take that away to the reception. ', 'Following, I asked to speak to a manager about this and had an unfortunate experience talking to Audrius, who I found lacked any kind of human emotion and was frankly facetious and patronising, there was obviously no negotiation on their matter of their ""health and safety policy"" over bringing external cakes, although it was clear from Audrius that the issue was really about the effect it would have on dessert sales. Audrius explained that this happens a lot, and many guest find themselves in my position and allowing any discretion would mean people: ""bringing their own wine or dogs to the restaurant”. This indicates to me, that customers have a desire to do exactly as I had done, and that the restaurant itself is not listening to customers’ desires or needs. Anyway, the discussion ended with him saying ""You have a choice to make?"", when I enquired as to the choice, I was told: ""To sit down and enjoy your meal or not?"", which I thought was unprofessional. If this was my brand I would not have such a person represent it.', 'Notwithstanding that the Ivy is not a patisserie, does not specialise in birthday cakes and anything they would have offered would have been far inferior. What is more frustrating is that when I called the restaurant prior to the booking, I was told that they can only provide birthday cakes for up to 5 people, and since there were 8 of us, this was not an option. Although Audrius insisted this was not the case, so not only poor management, but poor staff advice led to this situation occurring.', 'Even other restaurant guests who overheard the conversation made the effort to to approach us and offer their supporting voices that this was a ridiculous policy.', 'Talking to one of the other managers, Alex, when we left, who I found much more personable, and at least had the trait of human empathy, which honestly is the minimum I would expect from anyone in the hospitality industry. It was nice that someone in the restaurant was able to consider my situation and that of my guests from our perspective.', 'Food was less than the Ivy standard I have come to know which was extremely disappointing, especially as I introduced so many people to the Ivy for the first time and talked it up, perhaps it was just this particular restaurant, but I will never come here again, nor would I expect that from my guests who came for the first time. Several of us, commented was lacking in various ways. Unfortunately this occasion did not live up to my high expectations from the Ivy that I\'ve enjoyed at many other locations across London as a regular customer, but the ""Ivy in the Park - Canary Wharf"" has left me burnt and offended.', 'I seriously urge a reconsideration on the birthday cake policy, it’s surely a classic managerial short sightedness where you intend to increase revenue by potentially increasing sales of desserts on a single occasion, but neglect that you offend customers and limit future sales when people who’ve enjoyed friendly and accommodating service come back time and time again. Not to mention that even bringing your own cake means that customers would still purchase teas and coffees. Due to the hostility in this restaurant we took the cake and made the celebrations at another local venue who were more than happy to give us a table when we purchased a few drinks to go with it!']", January 2020,g186338-d15238588-r741794883,g186338-d15238588,"['Value', 'Service', 'Food']","['30', '10', '30']",2,28 January 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '12'], ['thumbs-up-fill', '7']]","['Bromley, United Kingdom']",damhy,Not Birthday Celebration Friendly! Beware.,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r741794883-The_Ivy_Canary_Wharf-London_England.html
2,,"['All 6 people had a starter and a main course, no deserts. Excellent food all round, no complaints at all.', 'For the mains our group had;- Salmon, Black Miso Cod, Fillet Steak, Crab cakes and two Duck curry dishes. For starters we had the tuna carpaccio, scallops, tempura prawns,']", February 2020,g186338-d15238588-r747592193,g186338-d15238588,[],[],5,25 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '15'], ['thumbs-up-fill', '4']]","['Kent, United Kingdom']",MJ77777777,Monday night team dinner....,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r747592193-The_Ivy_Canary_Wharf-London_England.html
3,,"[""We had a great time at the Ivy in Canary Wharf - as always, we weren't disappointed. We had four delicious cocktails and two of them were a self creation by Michele (I think one of the best cocktails I had!) - we will definitely come back to try some more creations! Exceptional service, thanks Michele!""]", February 2020,g186338-d15238588-r743502119,g186338-d15238588,"['Value', 'Service', 'Food']","['50', '50', '50']",5,7 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '1']]","['London, United Kingdom']",adamwT6573KC,Amazing Cocktails and Service!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r743502119-The_Ivy_Canary_Wharf-London_England.html
4,,"['My husband took me here for a meal as part of our wedding anniversary celebrations. This is a very pleasant environment with a lovely ambiance.I had the Salmon and my husband had the lobster. The food was superb, cooked to perfection. The desserts were good and it was difficult to choose from the fabulous selection. The staff were very attentive, in fact my only criticism would be they were too attentive, making me feel a little rushed. But all in all a good experience and I would definitely dine here again.']", January 2020,g186338-d15238588-r743218816,g186338-d15238588,"['Value', 'Service', 'Food']","['50', '50', '50']",5,5 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '39'], ['thumbs-up-fill', '9']]",['Stafford'],julesA1,Lovely anniversary meal,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r743218816-The_Ivy_Canary_Wharf-London_England.html
5,,"[""Has a scrumptious meal to celebrate our friend's special birthday. Great company, great food, great ambiance. Our lovely visit was most definitely enhanced by our funny, friendly, wonderful waiter George, and another equally lovely head waiter whose name we didn't get...photo bomber you know who you are. Will definitely be returning #lovetheIvy""]", February 2020,g186338-d15238588-r743911955,g186338-d15238588,[],[],5,9 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '12'], ['thumbs-up-fill', '3']]",['cork'],pfizerhead,George the waiter enhanced the feel good factor!!,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r743911955-The_Ivy_Canary_Wharf-London_England.html
6,,"['We took our mum here for a bday meal. We sat in the conservatory type area which was a bit chilly at some moments despite the hidden heaters under the tables. ', 'Food:', 'Good sized portions. The lobster risotto starter is delicious, sea bass main was okay (it comes with A LOT of oil). The Sirloin amazing!! BTW Chips portions are real portions :-)', 'Service:', 'Which is why I’m writing this review. We had Steve as our waiter; he was so lovely and always happy to help answer any questions. I’m a waiters nightmare, not deliberately but I love all food and I’m very indecisive about which option to commit to. Steve was happy to answer my questions and narrow my choices down to one. With my indecisiveness and our mum being on crutches, I sometimes worry that pretentious restaurant staff will put a downer on the evening. This was not the case at The Ivy Canary Wharf and I will definitely be returning again.']", February 2020,g186338-d15238588-r743837109,g186338-d15238588,[],[],4,9 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '2'], ['thumbs-up-fill', '5']]","['Essex, United Kingdom']",FoodieTay0,"Good food, Amazing service",https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r743837109-The_Ivy_Canary_Wharf-London_England.html
7,,"['We went here to celebrate a friends birthday , fab cocktail bar to start with , a variety of drinks to please all .This place has a garden feel with nooks and crannies ,we were in the conservatory .Lovely atmosphere , cosy and intimate and busy .Comfortable seating arrangements .The food was lovely, a varied menu , we all had different meals and everyone was happy with them . We thought it was very reasonable for London as we had quite a lot of alcohol to drink and went through the card for dinner .The chocolate bomb for dessert is to die for ! .Have no complaints at all with the staff or the service .A word of warning to the ladies with stilettos on , floor a bit slippery under foot ! Only a 3 minute walk from station .....Would love to go back !']", January 2020,g186338-d15238588-r745522441,g186338-d15238588,[],[],5,16 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '114'], ['thumbs-up-fill', '66']]","['Essex, United Kingdom']",Blossomhill1,Large table for a surprise birthday,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r745522441-The_Ivy_Canary_Wharf-London_England.html
8,,"['Nothing to say, amazing service and very nice food. Great value as well. For sure we will be back soon!']", February 2020,g186338-d15238588-r745984203,g186338-d15238588,[],[],5,18 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '6'], ['thumbs-up-fill', '5']]","['London, United Kingdom']",elenatX4465YE,Great place and great food,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r745984203-The_Ivy_Canary_Wharf-London_England.html
9,,"['I took my Mum here for a Christmas treat it was the first time for both of us and we loved it. ', ""We both choose dishes of the festive menu and both had the Lobster Shepherds Pie and Christmas Bomb dessert. I would never normally pick a Sheps pie but I'm so happy I did it was 10/10. I would definitely return for another meal as was a good price for quality. ""]", December 2019,g186338-d15238588-r746180295,g186338-d15238588,[],[],4,19 February 2020,The_Ivy_Canary_Wharf,/Restaurant_Review-g186338-d15238588-Reviews-The_Ivy_Canary_Wharf-London_England.html,"[['pencil-paper', '32'], ['thumbs-up-fill', '27']]","['Romford, United Kingdom']",roxmitchellx,Christmas Meal with Mum ,https://www.tripadvisor.co.uk/ShowUserReviews-g186338-d15238588-r746180295-The_Ivy_Canary_Wharf-London_England.html
